source_file,source_table,survey_year,metric,tenure,breakdown_var,breakdown_val,geography,stat_type,quality_measure,quality_value,quality_unit,reliability_flag,reliability_note
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,all,lower_income_state,Total,Western Australia,lower_income,moe_95,3.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,all,lower_income_state,Total,Western Australia,lower_income,moe_95,5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,all,lower_income_state,Total,Western Australia,lower_income,moe_95,3.4,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,all,lower_income_state,Total,Western Australia,lower_income,moe_95,3.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,all,lower_income_state,Total,Western Australia,lower_income,moe_95,3.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,all,lower_income_state,Total,Western Australia,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,all,lower_income_state,Total,Western Australia,lower_income,moe_95,4.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,all,lower_income_state,Total,Western Australia,lower_income,rse_pct,3.9,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,rse_pct,3.2,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,moe_95,0.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,moe_95,2.3,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_outright,lower_income_state,Owner without a mortgage,Tasmania,lower_income,rse_pct,6.6,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,rse_pct,12.1,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,5.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,12.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,7.2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,10.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,5.5,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,moe_95,12.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_mortgage,lower_income_state,Owner with a mortgage,Tasmania,lower_income,rse_pct,11.4,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,owner_total,lower_income_state,Total owners,Tasmania,lower_income,rse_pct,4.3,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,0.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,3.6,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,2.7,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_30_to_50,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,4.1,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_30,owner_total,lower_income_state,Total owners,Tasmania,lower_income,moe_95,4.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,owner_total,lower_income_state,Total owners,Tasmania,lower_income,rse_pct,5.5,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,rse_pct,12.2,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_cost_income_ratio,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,moe_95,2,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_or_less,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,moe_95,9.8,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_25_to_30,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,moe_95,7.9,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_over_50,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,pct_total,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,moe_95,0,percentage_points,standard,"95% margin of error for a proportion estimate, in percentage points."
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,households_000,renter_social,lower_income_state,State or territory housing authority,Tasmania,lower_income,rse_pct,19.6,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
"8. Lower income households, state and territory.xlsx",Table 8.1,2019-20,median_weekly_cost,renter_private,lower_income_state,Private landlord,Tasmania,lower_income,rse_pct,6.9,per_cent,standard,Relative standard error is below 25%; no high-RSE caution flag is applied.
