date,value,series,series_id,category,unit,frequency
2012-03-01,99.5517522412388,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2012-06-01,99.81662591687041,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2012-09-01,99.08312958435208,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2012-12-01,101.14099429502852,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2013-03-01,102.09861450692748,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2013-06-01,103.52485737571313,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2013-09-01,105.03259983700082,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2013-12-01,108.53708231458843,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2014-03-01,109.88182559087203,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2014-06-01,111.5525672371638,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2014-09-01,112.77506112469437,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2014-12-01,115.8720456397718,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2015-03-01,118.03178484107579,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2015-06-01,122.26976365118173,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2015-09-01,124.49062754686227,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2015-12-01,124.61287693561532,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2016-03-01,124.1442542787286,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2016-06-01,126.22249388753055,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2016-09-01,128.0766096169519,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2016-12-01,132.76283618581908,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2017-03-01,135.49307253463732,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2017-06-01,138.3048084759576,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2017-09-01,137.81581092094538,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2017-12-01,140.52567237163817,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2018-03-01,140.1792991035045,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2018-06-01,138.77343113284434,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2018-09-01,136.85819070904645,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2018-12-01,134.75957620211898,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2019-03-01,131.62184189079053,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2019-06-01,132.29421352893235,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2019-09-01,136.26731866340666,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2019-12-01,139.93480032599837,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2020-03-01,141.54441727791362,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2020-06-01,140.4645476772616,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2020-09-01,143.98940505297475,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2020-12-01,150.55012224938875,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
2021-03-01,158.5778321108394,Dwelling Price Index ;  Australia ;,A83728647F,House Prices,Index,Quarter
